status,challenge,victim,attacker,flag,ts
correct,zblog,10.0.85.3:80,wangyihang,e46aa42beda0e0a87feaa3255d86406c,1537064636.55
correct,zblog,10.0.91.3:80,wangyihang,c624a2d49962c6b961f325de6b1cdd03,1537064636.66
duplicated,zblog,10.0.65.3:80,wangyihang,d47bae743239e1b2068e59945139672d,1537064668.5
duplicated,zblog,10.0.64.3:80,wangyihang,3a4ea86b7acef7aebdcec99ed93e5918,1537064668.53
duplicated,zblog,10.0.66.3:80,wangyihang,b03f93b7fc06d6a6db226924f5feee17,1537064668.54
duplicated,zblog,10.0.68.3:80,wangyihang,bdd1a43dab110e89413040882da9902a,1537064668.54
duplicated,zblog,10.0.72.3:80,wangyihang,ad084c8c3a30aac7419981d02fa4075d,1537064668.62
duplicated,zblog,10.0.71.3:80,wangyihang,2db4553707c6426da78b041f5de4c192,1537064668.66
duplicated,zblog,10.0.73.3:80,wangyihang,37f951acef131afd74a86f50f5b33aab,1537064668.69
duplicated,zblog,10.0.74.3:80,wangyihang,d4e0d7b09c23b6e31ab84b6cd93044de,1537064668.71
duplicated,zblog,10.0.75.3:80,wangyihang,674e37006d22309642674b870943fe25,1537064668.74
duplicated,zblog,10.0.76.3:80,wangyihang,41f67c342a9a4e84237cee7872fe973c,1537064668.79
duplicated,zblog,10.0.78.3:80,wangyihang,9f67b5f887507747c9efacef809b3ec0,1537064668.83
duplicated,zblog,10.0.82.3:80,wangyihang,e3c49d859a33abfffc326f615895eaee,1537064668.94
duplicated,zblog,10.0.85.3:80,wangyihang,e46aa42beda0e0a87feaa3255d86406c,1537064668.97
duplicated,zblog,10.0.86.3:80,wangyihang,38e9a0c4b8dad9cac0571a9c281535c5,1537064669.02
duplicated,zblog,10.0.88.3:80,wangyihang,f88108aa5cc26208b2074ccacf9f2072,1537064669.06
duplicated,zblog,10.0.87.3:80,wangyihang,033c1596fd61723bba65d697e0cfcec7,1537064669.07
duplicated,zblog,10.0.91.3:80,wangyihang,c624a2d49962c6b961f325de6b1cdd03,1537064669.17
duplicated,zblog,10.0.66.3:80,wangyihang,b03f93b7fc06d6a6db226924f5feee17,1537064719.34
correct,zblog,10.0.90.3:80,wangyihang,640716efe81523aa2eeaf2b414519e1e,1537064730.05
duplicated,zblog,10.0.91.3:80,wangyihang,c624a2d49962c6b961f325de6b1cdd03,1537064730.09
correct,zblog,10.0.93.3:80,wangyihang,080f881c971e1dee5c7257d7ff1d07f4,1537064730.1
correct,zblog,10.0.92.3:80,wangyihang,2ab40a6de86976ce04259d22c22417d2,1537064751.06
duplicated,zblog,10.0.93.3:80,wangyihang,080f881c971e1dee5c7257d7ff1d07f4,1537064751.08
